datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 04:28:00,0.06,0.76,19.81,Nest,0,1,-0.572732109170056
03-May-2015 04:29:00,0.0600000000000001,1.64,19.81,Nest,0,1,-0.572732109170056
03-May-2015 04:30:00,0.12,0.19,19.45,Nest,0,1,-0.470081482806555
03-May-2015 04:31:00,0.06,0.25,18.71,Nest,0,1,-0.572732109170056
03-May-2015 04:32:00,0.07,0.87,18.35,Out,0,1,-0.555623671442806
03-May-2015 04:33:00,0.06,0.19,18.1,Out,0,1,-0.572732109170056
03-May-2015 04:34:00,0,0.12,18.23,Out,0,1,-0.675382735533556
03-May-2015 04:35:00,0,0.07,18.35,Out,0,1,-0.675382735533556
03-May-2015 04:36:00,0,0.14,18.23,Out,0,1,-0.675382735533556
03-May-2015 04:37:00,0,0.87,18.1,Out,0,1,-0.675382735533556
03-May-2015 04:38:00,0,0.12,18.1,Out,0,1,-0.675382735533556
03-May-2015 04:39:00,0,0.13,18.35,Out,0,1,-0.675382735533556
03-May-2015 04:40:00,0,0.06,18.59,Nest,0,1,-0.675382735533556
03-May-2015 04:41:00,0,0.31,18.84,Nest,0,1,-0.675382735533556
03-May-2015 04:42:00,0.06,0.12,18.84,Nest,0,1,-0.572732109170056
03-May-2015 04:43:00,0,0.26,18.96,Nest,0,1,-0.675382735533556
03-May-2015 04:44:00,0,0.26,19.08,Nest,0,1,-0.675382735533556
03-May-2015 04:45:00,0.13,0.25,19.08,Nest,0,1,-0.452973045079305
03-May-2015 04:46:00,0,0.18,19.33,Nest,0,1,-0.675382735533556
03-May-2015 04:47:00,0.0599999999999999,0.37,19.45,Nest,0,1,-0.572732109170056
03-May-2015 04:48:00,0.0600000000000001,0.63,19.57,Nest,0,1,-0.572732109170056
03-May-2015 04:49:00,0.13,0.25,19.57,Nest,0,1,-0.452973045079305
03-May-2015 04:50:00,0,0.32,19.69,Nest,0,1,-0.675382735533556
03-May-2015 04:51:00,0.2,0.26,19.69,Nest,0,1,-0.333213980988554
03-May-2015 04:52:00,0,0.07,19.81,Nest,0,1,-0.675382735533556
03-May-2015 04:53:00,0,0.81,19.69,Nest,0,1,-0.675382735533556
03-May-2015 04:54:00,0.0599999999999999,0.18,19.69,Nest,0,1,-0.572732109170056
03-May-2015 04:55:00,0,0.0600000000000001,19.94,Nest,0,1,-0.675382735533556
03-May-2015 04:56:00,0,0.25,19.94,Nest,0,1,-0.675382735533556
03-May-2015 04:57:00,0.12,1.3,19.69,Nest,0,1,-0.470081482806555
03-May-2015 04:58:00,0,0.19,19.69,Nest,0,1,-0.675382735533556
03-May-2015 04:59:00,0.07,0.19,19.81,Nest,0,1,-0.555623671442806
03-May-2015 05:00:00,0,0.07,19.69,Nest,0,1,-0.675382735533556
03-May-2015 05:01:00,0,0.07,19.81,Nest,0,1,-0.675382735533556
03-May-2015 05:02:00,0,0.07,19.57,Nest,0,1,-0.675382735533556
03-May-2015 05:03:00,0,0.13,19.57,Nest,0,1,-0.675382735533556
03-May-2015 05:04:00,0,0.07,19.57,Nest,0,1,-0.675382735533556
03-May-2015 05:05:00,0.12,2.24,19.33,Nest,0,1,-0.470081482806555
03-May-2015 05:06:00,0,0.43,19.08,Nest,0,1,-0.675382735533556
03-May-2015 05:07:00,1.56,2.57,18.96,Nest,1,0,1.99353354991746
03-May-2015 05:08:00,0,0.19,19.08,Nest,0,1,-0.675382735533556
03-May-2015 05:09:00,0.31,1.81,19.08,Nest,1,0,-0.145021165988803
